Category: All categories

Month,Unemployment benefits: (United States)
2004-01,6
2004-02,5
2004-03,4
2004-04,4
2004-05,4
2004-06,5
2004-07,4
2004-08,4
2004-09,3
2004-10,3
2004-11,4
2004-12,3
2005-01,4
2005-02,4
2005-03,4
2005-04,3
2005-05,3
2005-06,3
2005-07,4
2005-08,3
2005-09,4
2005-10,3
2005-11,3
2005-12,3
2006-01,3
2006-02,3
2006-03,3
2006-04,3
2006-05,3
2006-06,4
2006-07,4
2006-08,4
2006-09,3
2006-10,3
2006-11,4
2006-12,4
2007-01,5
2007-02,4
2007-03,4
2007-04,5
2007-05,5
2007-06,5
2007-07,5
2007-08,5
2007-09,5
2007-10,5
2007-11,5
2007-12,6
2008-01,7
2008-02,6
2008-03,6
2008-04,7
2008-05,6
2008-06,9
2008-07,8
2008-08,8
2008-09,12
2008-10,15
2008-11,20
2008-12,19
2009-01,24
2009-02,27
2009-03,20
2009-04,20
2009-05,17
2009-06,20
2009-07,20
2009-08,20
2009-09,21
2009-10,21
2009-11,20
2009-12,19
2010-01,19
2010-02,19
2010-03,21
2010-04,19
2010-05,15
2010-06,22
2010-07,30
2010-08,14
2010-09,11
2010-10,12
2010-11,13
2010-12,19
2011-01,14
2011-02,13
2011-03,11
2011-04,12
2011-05,9
2011-06,11
2011-07,11
2011-08,11
2011-09,11
2011-10,10
2011-11,9
2011-12,10
2012-01,11
2012-02,9
2012-03,7
2012-04,8
2012-05,7
2012-06,8
2012-07,9
2012-08,8
2012-09,8
2012-10,9
2012-11,9
2012-12,14
2013-01,14
2013-02,9
2013-03,9
2013-04,7
2013-05,8
2013-06,8
2013-07,9
2013-08,6
2013-09,8
2013-10,9
2013-11,7
2013-12,9
2014-01,24
2014-02,18
2014-03,14
2014-04,15
2014-05,10
2014-06,9
2014-07,7
2014-08,6
2014-09,6
2014-10,6
2014-11,5
2014-12,5
2015-01,6
2015-02,5
2015-03,5
2015-04,5
2015-05,4
2015-06,5
2015-07,5
2015-08,5
2015-09,4
2015-10,4
2015-11,4
2015-12,5
2016-01,5
2016-02,5
2016-03,4
2016-04,4
2016-05,5
2016-06,5
2016-07,4
2016-08,4
2016-09,4
2016-10,4
2016-11,4
2016-12,4
2017-01,5
2017-02,4
2017-03,4
2017-04,4
2017-05,4
2017-06,4
2017-07,4
2017-08,4
2017-09,4
2017-10,4
2017-11,4
2017-12,4
2018-01,5
2018-02,4
2018-03,3
2018-04,3
2018-05,3
2018-06,3
2018-07,4
2018-08,3
2018-09,3
2018-10,4
2018-11,3
2018-12,4
2019-01,5
2019-02,4
2019-03,3
2019-04,4
2019-05,3
2019-06,4
2019-07,4
2019-08,3
2019-09,3
2019-10,4
2019-11,4
2019-12,4
2020-01,5
2020-02,4
2020-03,48
2020-04,100
2020-05,57
2020-06,47
2020-07,55
2020-08,61
2020-09,41
2020-10,29
2020-11,24
2020-12,35
2021-01,38
2021-02,30
2021-03,31
2021-04,23
2021-05,25
2021-06,21
2021-07,17
2021-08,17
2021-09,15
2021-10,7
2021-11,7
2021-12,7
2022-01,7
2022-02,6
2022-03,5
2022-04,5
2022-05,4
2022-06,5
2022-07,5
2022-08,5
2022-09,4
