French,English
partie,part
chercher,search
demande,request
genre,kind
frère,brother
car,because
aucun,no
ville,city
chaque,each
parlé,speak
devrait,should
bébé,baby
longtemps,long time
vont,will
revoir,meet again
savais,knew
pourrais,could
donner,give
type,type
leurs,their
façon,way
écoute,listen
trouve,find
premier,first
perdu,lost
première,first
côté,side
vieux,old
tiens,here
matin,morning
suite,after
vers,towards
chambre,bedroom
aujourd'hui,today
enfin,finally
attendez,Wait
boulot,job
arrêter,Stop
dirait,would say
terre,Earth
croire,believe
jouer,to play
